Date,MinTemp,MaxTemp,Humidity,Cloud,Temp,RainToday,RainTomorrow
7/29/2008,8,15,86,6,9.1,Yes,No
7/30/2008,6,17,65,2,9.4,No,No
7/31/2008,6,20.3,71,1,7.9,No,No
8/1/2008,7.9,20.8,40,6,17.2,No,No
8/2/2008,9.7,16.8,48,1,11.9,No,No
8/3/2008,9.4,18.8,52,0,11.6,No,No
8/4/2008,8.1,17.2,62,6,10.6,No,No
8/5/2008,6.6,16.3,67,1,9.2,No,No
8/6/2008,8.8,15.5,89,7,9.5,No,No
8/7/2008,8.3,16.5,74,1,10.9,No,Yes
8/8/2008,8.2,18.6,58,7,11.7,Yes,No
8/9/2008,6.9,17.3,56,1,9.9,No,No
8/10/2008,6.7,15.6,62,2,10.5,No,No
8/11/2008,7,15.9,46,1,9.4,No,No
8/12/2008,6.8,16.3,50,1,10.7,No,No
8/13/2008,8.4,17.4,49,1,12.2,No,No
8/14/2008,7.2,18.5,51,0,10.2,No,No
8/15/2008,9.4,18.8,49,1,12.4,No,No
8/16/2008,10.5,18,48,1,13.2,No,No
8/17/2008,6.9,16.4,45,1,10.4,No,No
8/18/2008,5.6,15.8,59,6,9.2,No,No
8/19/2008,5.3,17.6,65,1,9.5,No,No
8/20/2008,8.2,19.5,58,7,12.6,No,No
8/21/2008,9.4,20.2,58,8,12,No,Yes
8/22/2008,10.2,11.9,90,8,10.5,Yes,Yes
8/23/2008,7.3,14.8,65,7,11.2,Yes,No
8/24/2008,5.5,17.3,63,1,9.8,No,No
8/25/2008,8.2,16.4,76,7,11.1,No,No
8/26/2008,8.5,21.5,78,2,11.1,No,No
8/28/2008,8.8,16.9,85,3,12,Yes,No
8/29/2008,8.7,18.2,70,2,12.5,No,No
8/30/2008,8.1,16,82,5,12.1,No,Yes
8/31/2008,12.1,19.2,91,7,15.3,Yes,No
9/1/2008,10.4,21,54,0,15,No,No
9/2/2008,8.7,20.6,56,0,14.1,No,No
9/3/2008,9.7,17.9,67,7,15.8,No,No
9/4/2008,13.5,17.1,55,7,15.4,No,Yes
9/5/2008,13.1,15.7,76,8,15.6,Yes,Yes
9/6/2008,11.8,14.2,92,8,13,Yes,Yes
9/7/2008,9.5,19,69,2,14.1,Yes,No
9/8/2008,9.4,17.5,68,1,13.9,No,No
9/9/2008,8.4,16.4,49,1,12.6,No,No
9/10/2008,7,16.8,66,1,12.4,No,No
9/11/2008,7.1,17.7,72,1,12.3,No,No
9/12/2008,8.7,24.3,53,1,14.8,No,No
9/13/2008,14.8,30.6,40,3,24.3,No,Yes
9/14/2008,17.2,23.5,82,8,18,Yes,Yes
9/15/2008,16.9,27.9,58,1,22.5,Yes,No
9/16/2008,12.3,19.8,30,1,14.3,No,No
9/17/2008,10.7,16.3,60,6,14.8,No,No
9/18/2008,9.4,19.4,63,1,15.7,No,No
9/19/2008,14.6,25.8,67,1,19.4,No,No
9/20/2008,18.8,32.8,46,0,25.8,No,No
9/21/2008,15.8,21.6,73,4,18,No,No
9/22/2008,13.2,29.8,64,0,19.1,No,Yes
9/23/2008,15.6,17,88,8,15.6,Yes,Yes
9/24/2008,9.7,18.6,60,3,16.2,Yes,No
9/25/2008,10.3,18.6,67,1,16,No,No
9/26/2008,11.3,22.2,56,1,17.9,No,No
9/27/2008,14,25.4,67,4,20.4,No,No
9/28/2008,19.8,32.9,35,2,25.4,No,No
9/29/2008,13.5,21.8,42,1,19.4,No,No
9/30/2008,11.9,19.2,61,2,16.5,No,No
10/1/2008,12.6,24.7,70,6,19,No,No
10/2/2008,18.9,31.1,44,3,24.7,No,No
10/3/2008,22.5,34.8,41,1,29.6,No,Yes
10/4/2008,17.5,19.4,89,7,18.9,Yes,Yes
10/5/2008,14.6,19.1,93,8,14.9,Yes,Yes
10/6/2008,14.9,22.8,85,8,18.5,Yes,No
10/7/2008,9.7,20.6,51,1,12.8,No,No
10/8/2008,10.9,19.7,53,4,14,No,No
10/9/2008,10.5,19.9,56,1,15.8,No,No
10/10/2008,12.6,21.5,76,3,16.9,No,No
10/11/2008,14.6,22.3,82,5,16,No,No
10/12/2008,14.2,22.5,76,1,18.6,No,No
10/13/2008,16.1,29.2,72,2,20.2,No,No
10/14/2008,16.6,21,89,8,16.8,No,Yes
10/15/2008,15.1,18.9,63,7,15.9,Yes,No
10/16/2008,11.8,22.1,64,1,16.6,No,No
10/17/2008,12.9,24.9,71,1,17.6,No,No
10/18/2008,16.7,23.2,77,5,18.6,No,No
10/19/2008,16.5,26.8,64,1,21.3,No,No
10/20/2008,17.1,22.2,76,7,18.1,No,Yes
10/21/2008,14.5,19.2,68,6,16.8,Yes,Yes
10/22/2008,9.9,14.3,87,7,10.3,Yes,Yes
10/23/2008,7.9,15.7,71,6,11.9,Yes,Yes
10/24/2008,9,20.2,66,6,14.4,Yes,No
10/25/2008,12.3,24,66,1,17.3,No,No
10/26/2008,14.4,24.4,58,6,20.2,No,No
10/27/2008,19.8,33.6,55,2,23.7,No,No
10/28/2008,17.6,21.9,67,5,20.8,No,Yes
10/29/2008,16.8,17.3,93,8,17.2,Yes,Yes
10/30/2008,15.1,25.8,92,8,17,Yes,No
10/31/2008,16.9,35,53,6,25.6,No,No
11/1/2008,18,21.2,73,7,18.9,No,No
11/2/2008,17.5,23.1,72,7,18.3,No,Yes
11/3/2008,17.2,30.3,62,2,23.1,Yes,No
11/4/2008,15.5,19,59,7,17.5,No,No
11/5/2008,14.5,21,59,6,18.2,No,No
11/6/2008,15.2,30.3,58,5,21,No,No
11/7/2008,16,24.1,61,6,18.7,No,No
11/8/2008,18.4,25.2,62,7,22.1,No,No
11/9/2008,16.6,23,46,1,20.7,No,No
11/10/2008,17.4,23.3,63,5,21.9,No,No
11/11/2008,15.9,23.1,66,3,20.5,No,No
11/12/2008,16.4,24.6,69,7,20.5,No,No
11/13/2008,19,24.9,61,3,23.4,No,No
11/14/2008,19.2,27,65,5,24.3,No,Yes
11/15/2008,18.5,23.1,92,8,18.6,Yes,Yes
11/16/2008,17.2,22.4,75,7,19.1,Yes,No
11/17/2008,15.5,20.9,60,7,18.8,No,No
11/18/2008,16.2,23.4,60,7,20.6,No,Yes
11/19/2008,17,22.1,91,8,18.4,Yes,Yes
11/20/2008,17.3,27.6,70,3,22,Yes,No
11/21/2008,16.7,27.7,34,1,22.1,No,No
11/22/2008,17.9,20.6,49,3,20.3,No,No
11/23/2008,12.2,19.7,50,7,13.8,No,Yes
11/24/2008,13.6,22.3,47,1,19.7,Yes,No
11/25/2008,15.5,21.8,62,5,18.5,No,No
11/26/2008,16.4,21.8,55,7,18.5,No,No
11/27/2008,15.9,23.6,58,7,21.8,No,No
11/28/2008,19.5,24.6,71,8,22.9,No,Yes
11/29/2008,19.3,23.3,92,7,20.3,Yes,Yes
11/30/2008,15,24.9,64,2,19.8,Yes,No
12/1/2008,17.6,31.3,29,3,24.9,No,No
12/2/2008,16.6,23.8,65,1,20.8,No,No
12/3/2008,18.4,33.2,67,7,22.5,No,No
12/4/2008,18.4,21.8,59,8,19.6,No,No
12/5/2008,19.3,27,78,8,20.9,No,No
12/6/2008,20.8,34.8,57,7,27,No,No
12/7/2008,20,26.1,81,8,21.1,No,Yes
12/8/2008,18.2,22.3,74,7,20.3,Yes,Yes
12/9/2008,17.4,25.9,81,3,19.5,Yes,No
12/10/2008,19.5,23.4,71,3,21.9,No,Yes
12/11/2008,17.2,19.9,90,8,17.5,Yes,Yes
12/12/2008,17.4,24.5,85,8,17.6,Yes,Yes
12/13/2008,17,32.9,82,6,24.5,Yes,No
12/14/2008,19.2,25.4,42,1,21.5,No,No
12/15/2008,16.7,23.8,39,5,20.9,No,No
12/16/2008,15,24.1,58,1,21,No,No
12/17/2008,17.7,26,68,1,22.3,No,No
12/18/2008,19.3,27.4,65,2,23.1,No,No
12/19/2008,17.3,26.4,67,2,21.6,No,No
12/20/2008,15.7,20.4,57,5,18.4,No,No
12/21/2008,14.3,22.1,60,4,19.6,No,No
12/22/2008,15.9,24.1,56,1,22.1,No,No
12/23/2008,19,26.9,60,6,23.8,No,No
12/24/2008,18.7,20.7,77,8,19.6,No,No
12/25/2008,16.4,23.3,73,7,20.7,No,No
12/26/2008,19.1,26,75,7,23.1,No,No
12/27/2008,20.5,27.2,79,7,24.5,No,Yes
12/28/2008,19.7,28.3,72,1,23.4,Yes,No
12/29/2008,20.7,24.9,72,2,22.6,No,Yes
12/30/2008,18.2,27.6,81,6,20.9,Yes,No
12/31/2008,19.2,31.5,37,0,24.7,No,No
1/1/2009,18.4,34.7,73,4,22,No,No
1/2/2009,18.8,22.7,62,6,20.1,No,No
1/3/2009,17,23,58,8,18.8,No,No
1/4/2009,18.7,24.6,59,2,23,No,No
1/5/2009,19.5,27.9,66,4,23.4,No,No
1/6/2009,20.2,28.3,77,0,23.1,No,No
1/7/2009,20.7,33.1,72,1,23.7,No,No
1/8/2009,20.4,22.4,78,8,21.2,No,No
1/9/2009,17.2,22.6,54,7,19.2,No,No
1/10/2009,18.3,23.4,54,7,19.7,No,No
1/11/2009,17.4,24.6,58,3,23.4,No,Yes
1/12/2009,18.7,26.8,71,1,23.2,Yes,No
1/13/2009,19.6,26.2,74,6,23.5,No,No
1/14/2009,20.8,29.7,67,0,25.5,No,No
1/15/2009,23,33.4,61,5,28.6,No,Yes
1/16/2009,18.8,25,69,2,21.4,Yes,No
1/17/2009,17.7,22.6,52,6,19,No,No
1/18/2009,14.8,23.3,62,1,19.5,No,No
1/19/2009,16.4,25.1,55,1,22.5,No,No
1/20/2009,20.1,28.7,61,0,24.7,No,Yes
1/21/2009,21.3,31.1,66,3,25.7,Yes,No
1/22/2009,23.4,33.6,52,5,27.8,No,No
1/23/2009,25,31.7,59,1,29.5,No,No
1/24/2009,24.8,40.9,55,6,31.5,No,No
1/25/2009,20.5,25.9,57,7,21.9,No,No
1/26/2009,20.8,26.8,80,8,21.9,No,Yes
1/27/2009,20.2,23.9,95,8,20.8,Yes,Yes
1/28/2009,19.9,27.1,78,6,23.7,Yes,No
1/29/2009,21.2,28.3,73,1,25.2,No,No
1/30/2009,21.1,28.2,72,1,24.6,No,No
1/31/2009,21.8,29.1,76,2,25,No,No
2/1/2009,21.2,28.1,71,1,24.9,No,No
2/2/2009,22.9,28.3,79,6,24.8,No,No
2/3/2009,21.8,28,63,7,25.4,No,No
2/4/2009,21.6,27.3,84,7,23.2,No,No
2/5/2009,22.2,29.2,73,1,26,No,No
2/6/2009,21.9,29.5,75,3,25.5,No,No
2/7/2009,21.8,33.5,68,0,25.6,No,No
2/8/2009,21.4,28.6,69,0,24.2,No,No
2/9/2009,20.9,22.5,84,8,21.2,No,Yes
2/10/2009,17.9,19.4,94,8,18.2,Yes,Yes
2/11/2009,16.7,23,77,7,17.7,Yes,No
2/12/2009,17.5,22,76,7,18.9,No,Yes
2/13/2009,16.4,20.4,86,8,18,Yes,Yes
2/14/2009,17,21.2,66,8,19.1,Yes,Yes
2/15/2009,16.5,23.3,88,8,19.4,Yes,Yes
2/16/2009,18.6,25,82,7,20.3,Yes,Yes
2/17/2009,19.4,22.9,70,8,20.8,Yes,Yes
2/18/2009,19.4,26.6,93,8,20.2,Yes,Yes
2/19/2009,18.9,28.4,74,2,23.1,Yes,No
2/20/2009,20.3,26.1,78,5,22.4,No,No
2/21/2009,21.9,24.4,85,8,22.5,No,Yes
2/22/2009,20.3,24.9,70,7,21.7,Yes,No
2/23/2009,19.6,27,78,7,22.6,No,No
2/24/2009,19.9,30.5,82,0,23,No,No
2/25/2009,21.1,26.4,83,7,22,No,No
2/26/2009,19.6,24.6,74,8,20.7,No,No
2/27/2009,17.5,23.5,78,7,18.9,No,No
2/28/2009,17.5,25.4,70,7,20.7,No,No
3/1/2009,20.5,25.7,70,8,23.1,No,No
3/2/2009,21.8,25.5,71,7,22.8,No,No
3/3/2009,20.8,26.9,61,7,24.1,No,No
3/4/2009,22.5,25.1,73,7,24.2,No,No
3/5/2009,16.8,24.6,39,1,19.3,No,No
3/6/2009,14.4,23.6,67,1,17.8,No,No
3/7/2009,17.7,26.3,77,3,20.5,No,No
3/8/2009,20.2,25.3,80,5,22.2,No,Yes
3/9/2009,18.2,24.5,94,7,19.1,Yes,No
3/10/2009,19.1,24.5,66,6,22.8,No,No
3/11/2009,20.2,23.4,59,3,23.3,No,Yes
3/12/2009,18.2,25.3,87,2,20.3,Yes,No
3/13/2009,19.6,25.5,85,7,21.1,No,No
3/14/2009,19.9,27.2,82,3,22.3,No,Yes
3/15/2009,19.2,27.4,81,2,21.7,Yes,No
3/16/2009,16.1,26.8,42,1,18.7,No,No
3/17/2009,15.9,25.7,47,1,18.8,No,No
3/18/2009,17.1,24.5,72,1,20.1,No,No
3/19/2009,17.5,27.7,76,2,20.6,No,No
3/20/2009,19.9,26.1,80,2,23.5,No,No
3/21/2009,19.6,25.3,83,4,22.1,No,No
3/22/2009,17.6,26.7,82,1,20.4,No,No
3/23/2009,19.5,25.7,66,5,23.1,No,No
3/24/2009,20.5,26.1,67,1,23.6,No,No
3/25/2009,20.8,26,69,4,23,No,Yes
3/26/2009,20.5,26.6,72,4,23.8,Yes,No
3/27/2009,20.6,23.5,69,7,22,No,No
3/28/2009,16.4,23.5,85,3,17.9,No,No
3/29/2009,16.1,24.4,77,5,18.9,No,No
3/30/2009,18.6,26.2,66,2,22.9,No,Yes
3/31/2009,19.8,22.5,86,8,21.1,Yes,Yes
4/1/2009,18.4,24.7,93,8,20.5,Yes,Yes
4/2/2009,19.6,24.7,87,8,21.9,Yes,Yes
4/3/2009,20.1,25.1,92,6,21.4,Yes,Yes
4/4/2009,18.3,20.8,84,7,18.4,Yes,No
4/5/2009,17.1,22.8,72,7,19.1,No,No
4/6/2009,17,21.1,69,7,19.5,No,No
4/7/2009,16.3,21.3,67,7,18.8,No,No
4/8/2009,12.8,22.4,66,2,18.7,No,No
4/9/2009,15.1,23.2,72,1,19.6,No,No
4/10/2009,14.7,22.7,81,5,18.4,No,No
4/11/2009,17.4,23.8,80,7,19.8,No,No
4/13/2009,20.4,22.6,79,8,21.6,No,Yes
4/14/2009,17.6,26.9,89,6,19.2,Yes,No
4/15/2009,16.1,29.3,70,0,20.5,No,No
4/16/2009,14.9,24.1,43,0,17.4,No,No
4/17/2009,13.5,24.1,56,0,18.4,No,No
4/18/2009,14.2,22.8,66,1,18.3,No,Yes
4/19/2009,15.8,22.5,91,7,16.1,Yes,Yes
4/20/2009,15.9,21.4,60,7,19.5,Yes,No
4/21/2009,16.4,22.1,59,5,20.5,No,Yes
4/22/2009,16,22.7,85,7,17.2,Yes,Yes
4/23/2009,14.7,21.6,87,3,16.9,Yes,No
4/24/2009,13.1,24.7,75,6,17.4,No,No
4/25/2009,16.3,23.9,52,1,19.3,No,No
4/26/2009,16.7,20.2,47,2,17.7,No,No
4/27/2009,11.2,18.7,43,1,14.1,No,No
4/28/2009,11.8,21.9,54,1,16.1,No,No
4/29/2009,10.2,17.6,59,7,12.6,No,Yes
4/30/2009,11,17.4,92,7,12.8,Yes,Yes
5/1/2009,10.2,22.5,76,3,13,Yes,No
5/2/2009,10.9,22,61,1,14,No,Yes
5/3/2009,11.4,20.5,85,4,12.8,Yes,No
5/4/2009,12.1,23.3,84,1,14.5,No,Yes
5/5/2009,14,21,86,7,14.7,Yes,No
5/6/2009,12.9,22.9,92,2,14.1,No,No
5/7/2009,12,22.7,67,1,15,No,No
5/8/2009,12.3,20.9,71,1,14.9,No,No
5/9/2009,11.1,22.8,74,1,13.4,No,No
5/10/2009,13,20.1,86,7,13.9,No,Yes
5/11/2009,11.8,18.9,74,6,14.3,Yes,No
5/12/2009,9.6,20.1,78,1,12,No,No
5/13/2009,10.4,21.3,80,1,12.4,No,No
5/14/2009,11.1,21.5,50,1,15.2,No,No
5/15/2009,12.4,21.7,58,1,14.2,No,No
5/16/2009,14.2,21.7,49,7,18.7,No,No
5/17/2009,11.4,20.7,64,1,13,No,No
5/18/2009,10.5,20.9,74,3,13.2,No,Yes
5/19/2009,13,21.4,91,6,14.5,Yes,Yes
5/20/2009,14.5,21.2,68,7,19.2,Yes,Yes
5/21/2009,14.8,19.7,53,7,19.2,Yes,Yes
5/22/2009,15.6,19.6,59,8,19.1,Yes,Yes
5/23/2009,15.4,20.8,66,5,19.6,Yes,Yes
5/24/2009,17.4,21.3,52,5,19.7,Yes,No
5/25/2009,13.6,20.3,82,7,15.4,No,No
5/26/2009,12.8,23.4,89,1,13.9,No,No
5/27/2009,13.9,16.9,88,7,15.3,No,Yes
5/28/2009,12,19.2,92,3,13.5,Yes,No
5/29/2009,11.4,17.5,65,3,12.4,No,Yes
5/30/2009,9.9,16.5,82,8,11.7,Yes,Yes
5/31/2009,11.6,18.8,86,6,14.5,Yes,No
6/1/2009,13.1,16.8,83,7,13.3,No,No
6/2/2009,12.5,19.1,91,7,13.7,No,Yes
6/3/2009,13.7,18.5,89,8,16,Yes,Yes
6/4/2009,13.1,17,97,7,13.4,Yes,No
6/5/2009,13.1,18.5,93,4,14.5,No,No
6/6/2009,9.3,19,71,1,11.6,No,No
6/7/2009,10.7,19.8,80,6,12.6,No,No
6/8/2009,11.4,19.2,63,2,13.8,No,No
6/9/2009,10,16.2,62,3,11.7,No,No
6/10/2009,9.7,14.2,37,1,10.5,No,No
6/11/2009,6.1,15.8,48,1,7.9,No,No
6/12/2009,6.2,17.1,67,1,8.2,No,No
6/13/2009,7.8,18.5,70,7,9.4,No,No
6/14/2009,9.4,15.6,74,7,11,No,Yes
6/15/2009,8.2,19.8,79,1,10.2,Yes,No
6/16/2009,9.2,16.3,81,6,13.1,No,Yes
6/17/2009,10.5,15.6,92,7,11.2,Yes,Yes
6/18/2009,10.1,15.4,95,7,10.7,Yes,Yes
6/19/2009,9.2,18,95,6,10.9,Yes,No
6/20/2009,10.9,16,95,6,11.7,No,Yes
